review_id,platform,app_name,author,rating,title,text,date,sentiment_label,groq_labeled
38105f56acc9fe462f4fa8c60cf11021,app_store,Enpara.com,ertyns,5,Teşekkür,Harika olmuş,2026-05-23 10:59:43+00:00,pozitif,True
877342d099db0b5d073f6310aa5c0873,app_store,Trendyol,zgrnvn,5,Trendyol harika,Biz evimize her şeyimizi buradan alıyoruz teşekkürler Trendyol,2026-05-23 10:49:18+00:00,pozitif,True
a810ff705aada220822f587e5bccc4bd,app_store,Domino's Pizza Türkiye,Ateş y,5,Mükemmel bir pizza,Çok lezzetliydi ☺️,2026-05-23 10:44:22+00:00,pozitif,True
24f1f756e48c6e92a602ea6e0d204103,app_store,YouTube,ruelrobin,5,Yeni dolu içerikler kraliçesi,Kullanilan algoritma neredeyse daha iyi karar verebilecek durumda bu yuzzden cok iyi,2026-05-23 10:41:13+00:00,pozitif,True
571636e09c5babc9dc414d1de0e44f99,app_store,Getir,Asfkfmrnfv,1,Sıfır destek,Sorun giderme sıfır. Çözüm yok. Resmen dolandırıcılık yapıyorlar. Yemeksepetinin Y kadar yok. Bir daha asla kullanamam.,2026-05-23 10:35:14+00:00,negatif,True
b04ee0148474e5b86c4e35276fc66268,app_store,Yemeksepeti,GöksuGiray,5,Göksu,Siparişi Hüseyin Bey getirdi çok hızlı ve özenle paketlenmişti.Aşırı lezzetliydi tekrar tekrar sipariş vereceğim.Denemeye ve şans vermeye değer,2026-05-23 10:33:15+00:00,pozitif,True
e658e35a2707dd4300302be51c3020bb,app_store,Domino's Pizza Türkiye,SevgiBerkayMustafa,4,Teslimat adres değişikliği,Başka bir adrese teslim edilmesi için uygulamada teslimat adresi değişikliği yapamadım. Bu iyi nir şey değil,2026-05-23 10:32:10+00:00,pozitif,True
919e9b8a95c8a1ac2554031d119d4fc8,app_store,Enpara.com,Nonamecenter,4,Ek,Esnek hesap limit güncellemeyi bulamadım menülerden ya da hesaba girip bir buton tanımlanabilir,2026-05-23 10:25:49+00:00,pozitif,True
73b9ffb8861d9a74e4ecfbd013acc46b,app_store,Hepsiburada,Aeylm,5,Memnunum,"Başarılı bi platform. Tek eksiği kapıma bırak seçeneğinin olmaması,eklenmeli",2026-05-23 10:25:22+00:00,pozitif,True
24467fe60f8ebbf7b8b9175728354d93,app_store,Enpara.com,Ouzdiyebiri,5,Saygılarımla…,"Halkının yanında olan tek banka sömürmeyen,herkesi eşit gören kusursuz banka🙏🏼",2026-05-23 10:24:44+00:00,pozitif,True
fcb2534b582787e2b334f153f55625f1,app_store,YouTube,.htc.htc,5,Hatice,Çok iyidi,2026-05-23 10:24:15+00:00,pozitif,True
f92b5ba397350732820f7dde96726afd,app_store,İşCep,Ir. Aks,5,Memnunum,Gayet güzel ve pratik,2026-05-23 10:23:56+00:00,pozitif,True
1bfd92a8246841c66f4274bc305d1088,app_store,Garanti BBVA Mobile,Poloemre,5,Harika hizmet,Harika hizmet,2026-05-23 10:20:12+00:00,pozitif,True
174869012f1baae1fbe7deb55391d7df,app_store,İşin Olsun,Atlas16.16,5,Aşırı iyi,Mükemmel,2026-05-23 10:10:19+00:00,pozitif,True
97684dce2959f6e64d87fae2d2a81c64,app_store,McDonald's,Kaldlgicndşfpgmdldmcnfldmxkdld,1,Çok Kötü,Uygulama o kadar kullanışsız ki giriş yapmak adres kaydetmek bile çok çok zor.,2026-05-23 10:07:43+00:00,negatif,True
550a5432dc975c00d0bb19e3dccb431c,app_store,YouTube,Guzgun61,5,🤗,🤗,2026-05-23 10:06:45+00:00,pozitif,True
db77503feccdd619ccc9e9479e4651a0,app_store,Instagram,Vücutçu,5,E,Mükemmel,2026-05-23 09:53:27+00:00,pozitif,True
3cfc597b64301e79214facc55b2d79d8,app_store,Hepsiburada,haticeavcı2034,1,Yeter,Devamlı yorum yapma bildirisi gönderip duruyorsunuz defalarca 5 yıldız yolladım hala bildirim geliyor,2026-05-23 09:48:01+00:00,negatif,True
6b49173291a13b025323da985c66ac1f,app_store,Trendyol,Trendyoll kullanıcısıı,5,Trendyol,Her şeyi güzel,2026-05-23 09:47:16+00:00,pozitif,True
713a045a872b4a459e299e5cf1975414,app_store,Akbank,kiosk4,5,mobile app,Friendly,2026-05-23 09:42:32+00:00,pozitif,True
1e37b55217890dfcce1ce790b1e74ef0,app_store,Enpara.com,Sezrkdkd,5,Mükemmel,Harikasınız,2026-05-23 09:37:02+00:00,pozitif,True
efe776bd2b09d6eaded6bcc69285baa5,app_store,Akbank,Onurr.58,5,Kredi kart limit artışı ve kredi,Kredi verirseniz bi de kart limitimi arttırırsanız daha memnun olurum sizden,2026-05-23 09:29:37+00:00,pozitif,True
c6fc1d4dca8223a93928674bfd8fac77,app_store,Trendyol,Malatyaiı,5,Süper,Fiyat iyi inşallah üründe iyi gelir,2026-05-23 09:24:16+00:00,pozitif,True
9bceaec70639c40c2e613a31d34118e3,app_store,Garanti BBVA Mobile,Bayff,1,Para transferi,Bir havaleye 16 tl nerde kesiliyor gerçekten hangi çağdayız kart borcunu ödemek için bile kesinti,2026-05-23 09:21:32+00:00,negatif,True
c33b0c0f2ae63e1c46b61f0548a03ed9,app_store,Garanti BBVA Mobile,Mg:;@@@,5,Mükemmel,Mükemmel,2026-05-23 09:14:02+00:00,pozitif,True
197b5c8de090e834f382828fa5bcccb2,app_store,X,Dndjj go kalandan,5,So good,Thanks elon,2026-05-23 09:12:52+00:00,pozitif,True
