company_name,overall_rating,total_reviews,review_title,review_text,review_rating,review_date,reviewer_name
"AmazonReviews11,109",N/A,N/A,N/A,"Nunca había tenido una mala experiencia con Amazon hasta ahora. He comprado muchas cosas anteriormente, pero esta vez fue una total decepción.Compré un iPhone Plus de 512GB y me enviaron uno de 128GB, de otro color y sin cable. Cuando contacté al servicio al cliente, la ayuda fue mínima y no entendían la situación de quienes compramos fuera de Estados Unidos usando courier.Devolver el artículo desde otro país es una locura: uno paga impuestos, envío y, para colmo, tendría que volver a pagar por un error que fue completamente de ellos.Muy mala experiencia. Tengan cuidado al ordenar teléfonos o electrodomésticos, especialmente si compran desde fuera de USA.",N/A,N/A,N/A
"AmazonReviews11,109",N/A,N/A,N/A,"JJust like a butcher who puts his thumb on the scale or a used car dealer that rolls back the odometer, Amazon is engaging in similar unscrupulous bait-and-switch activities. Advertising products as new, only to ship inventory that is already two years old, is a violation of the implied warranty of merchantability under NY UCC § 2-314 and constitutes deceptive trade practices. I received two separate deliveries of 24 AAA PowerMax batteries, and both packages arrived two years past their manufacture date.Alkaline batteries that are two years old have only 80% of their 10-year guaranteed shelf life remaining and are considerably less powerful than fresh ones as they age. Always check manufacture dates.If you fall victim to this scam, exercise your rights by posting similar reviews, disputing charges with your bank, and reporting these illegal acts to your state's Attorney General's Consumer Frauds Bureau.As a journalist with over 50 years of experience and an Amazon Prime member for over a decade, it is my duty to report that I no longer trust Amazon. They encourage and conspire with sleazy vendors who foist old merchandise as new, prioritizing those ill-gotten revenues over their responsibility to their customers.",N/A,N/A,N/A
"AmazonReviews11,109",N/A,N/A,N/A,"Purchased a Lenovo laptop for $2,427.70. Product page showed ""Visit the Lenovo Store"" with zero indication of a third-party seller. Laptop arrived from Montana Joe/Techdeals Brooklyn NY — pre-owned, fraudulently listed as new. Verified via Lenovo warranty activated 31 days before my purchase. Amazon had no fraud escalation process. Multiple buyers report identical fraud from this seller. Had to file FTC and IC3 reports to get traction.",N/A,N/A,N/A
"AmazonReviews11,109",N/A,N/A,N/A,"Amazon closed my account for no reason and I now lost access to my purchases, Prime benefits, all my devices and all subscriptions.Was spending hundreds if not thousands a year since 2016.Spent hours on phone with them to no avail.Something happened lately at Amazon and it's bad.Even if you open a new account, the chat does not work anymore.Hello Walmart, Costco and others... you got me back as a customer.",N/A,N/A,N/A
"AmazonReviews11,109",N/A,N/A,N/A,"After you click to try to use the chat option on amazon or in the app you get the error ""Sorry looks like we hit a snag, chat is not available right now but we have other option for you""(first screenshot) and when you click on it it sends you to a page to enter your phone number to talk to someone on the phone. When I open the source page with all the page's code of the chat window error I can see that it is without a shadow of a doubt amazon responsible for blocking people from the chat. Second screenshot is the code line confirming this fact. The last time I was able to use the chat I had asked for a refund for the fake counterfit item (amazon sold and shipped) they sent to me. I was unnecessarily transferred to a ""member of the leadership team"" named Meghna. We all need to put our blocked chat encounters up here and trust pilot with the name of the amazon employee responsible so we can shed light on and make it known the shady things amazon employees do to their customers out of retaliation.",N/A,N/A,N/A
"AmazonReviews11,109",N/A,N/A,N/A,"Does anyone hate their new layout? Want change or skip product subscription, good luck. Want to browse kindle books not happening. You only get see what they think you want. I use to like the old layout",N/A,N/A,N/A
"AmazonReviews11,109",N/A,N/A,N/A,"Despite cancelling my subscription, Amazon is still charging me a monthly fee for 4 months now. I have found it difficult to: 1. Find the Amazon screen and prompts to speak with a person, not AI assistance 2: Find access to a customer care email (still can't find one) 3: Follow up on my reported complaint as I have received no communication despite Amazon promising it would be resolved (twice now) 4: Proide a bad review on Amazon within their own site, you can only rate products purchased or do an internal complaint.",N/A,N/A,N/A
"AmazonReviews11,109",N/A,N/A,N/A,"I am beyond disappointed with Amazon. I ordered a brand-new ASUS ROG Tessen to give as a gift, but what arrived was a used, dirty, and oily unit.​The box had no factory seals, the manuals inside were crumpled and shoved in haphazardly, and the silicone parts were covered in dust. Most disgusting of all, the controller itself had oily fingerprints and residue all over it. This was clearly a returned item that Amazon's quality control completely ignored and resold as ""New.""​To make matters worse, I am currently in another country. Returning this would cost me nearly half the price of the item in international shipping fees—money I shouldn't have to spend because of their mistake. When I contacted support for a partial refund to compensate for this ""used"" state, they flat-out refused.​I have been a loyal customer and have even bought this exact model before without issues, but this experience has been a total scam. If Amazon thinks it's okay to charge full price for someone else's used ""trash"" and then refuse to help, they have lost me as a customer forever.​Stay away—Amazon is no longer reliable for high-end electronics.",N/A,N/A,N/A
"AmazonReviews11,109",N/A,N/A,N/A,"I've been buying from amzn for over 20 years. I've bought expensive tv's and other electronics many times and never did a ""post Super Bowl"" type return. But I'm going to start buying a lot more from WMT and Home Depot because amzn automatically banned me from ordering because I've been having huge problems with deliveries at my second home in Austin. I bitterly complained to amzn when a driver just left a $208 order on the sidewalk outside my complex's locked gate, for porch pirates to steal. After I kept complaining about lousy deliveries and I sought a price adjustment on a less than desirable purchased used item, amzn banned me.I used Chatgpt to develop a strategy to ""lie low"" for three weeks, saying nothing. Then amzn allowed me to order again. But learning that amzn blames the customer, no matter what, and refuses to take responsibility for their own failings really turned me against them. Now, I can't complain about ANYTHING, even when I'm 100% in the right, because the amzn algorithms score points against me. So I recommend that long term amzn users begin to diversify to other sellers because the slight""bad luck"" streak, even for a 20 year plus, good customer, means nothing to the amzn algorithm. Plus, I've learned from Gemini and Chat both, that amzn initiated newer, brutal standards to ban 10% or more of its customer base, saying they're crooks, when they're not.Probably worth considering that Prime may not be a good deal because amzn doesn't evaluate you based overwhelmingly on their entire 5-20 year experience with you. The big focus recently implemented is: ""is this customer making money for us in last 30 days, is he sapping up too much customer service time with his complaints, justified or not, etc.? Since anyone can have a usual sequence of events like I had and get suddenly banned, Walmart, Home Depot and other sources make more sense that paying a high Prime fee.Like Gemini and ChatGPT both told me, most people will blow off comments like mine, UNTIL the day comes when the amzn AI program lowers the boom on them. So consider my review as sort of an initial warning to be very careful in dealing with amzn. It is not the amzn of 10-20 years ago, with the customer is always right attitude. Now it's "" prove to us every 30 day period you're not any trouble for us.""#AmazonToWalmart #PrimeExit #20YearCustomer",N/A,N/A,N/A
"AmazonReviews11,109",N/A,N/A,N/A,"Amazon is still convenient for fast purchases, has a huge catalog, quick checkout, and delivery options that help when you need items urgently.",N/A,N/A,N/A
