platform,review_text,rating,review_date,source_url
yelp,"The Good: Still like what it used to taste like from what I can remember. Hits the spot every time! The Bad: Adel's is a fierce competitor a few blocks down with a long line. BUT, imho Adel's doesn't really taste as good as the original Halal Guys in terms of flavor and fragrance. The chicken from Adel's is in bigger chunks and some argue is more tender, but the flavor is definitely not close. Also, it's important that it comes with lettuce, tomatoes and a little onion to balance everything out. Finally, You must get both the spicy red and white sauce together to make it all come together! The Ugly: The smell is addictive, so if you walk by, it's hard to resist, even if you've just eaten a nice meal somewhere else. We couldn't resist. Gotta hit the gym hard for the next few days!",5,"Mar 19, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,"Thank you for your excellent review! We are glad to hear you are having such a great experience at The Halal Guys. As always, please feel free to let us know if you have any additional feedback.",5,"Mar 19, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,"This is a NYC staple--but on a Friday or Saturday night, the line gets insanely long. Pro tip from a New Yorker: the cart on 53rd & 7th is the exact same--same owners, same food. People skip it thinking it's not the real one, so there's usually little to no line. Even better, it's right by the Shake Shack seating area, so you can actually sit and enjoy your food. Look for the cart next to the ""HOPE"" statue.",4,"Apr 10, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,"Thank you for the positive comments about The Halal Guys! We are lucky to have customers like you! If we can ever do anything to make your experience even better, feel free to contact us directly.",4,"Apr 10, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,"I used to grab Halal food like once a week - mainly a chicken over rice bowl - from the various food trucks across the city, but the Halal Guys is definitely the most well known and consistent. I've been a more skeptical of food safety and hygiene so feel a bit better coming here to a place that consistently has a long line and good reputation. The line was a big confusing to figure out with the 5 or so people there the one night I was there. From previous times I've passed, Ive seen the line form in a certain direction and when I went to go to where I thought was the end of the line, I see another group go the other end, and all the other line waiters were facing in the opposite direction that I was expecting so it made me second guess my spot in line. I decided to follow the crowd and join behind the last couple I saw get on line. The staff was still preparing their next batch of food so paused on taking orders for a few min. When they restarted, they announced and motioned to all of us that the line forms ""that way"". So I was right. Wish they had clearer lines. When we all migrated, the order we were in got jumbled, which was very annoying that grown adults don't know how to wait on line and understand the concept of when a line moves, it's socially expected that you re-order yourselves in the same order you were in. Anyway, it was late at night and I didn't have much energy or patience to argue that out.  The line moves quickly anyway. So minus 1 star for general line management. I got my usual chicken over rice with all veggies and hot and white sauce. Delicious and scarfed down the whole bowl in one sitting in maybe 15 minutes.",4,"Feb 1, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,"There are many halal guys carts and restaurants.  For some reason, this particular location just tastes better!  It's a must stop for us every time we visit New York City.  We ate it twice on this trip!  Extra hot sauces is a must!!! Love their fries too!",5,"Apr 26, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,"Hi Edward, thanks for the 5-star review! We appreciate you taking the time out of your day to rate The Halal Guys.",5,"Apr 26, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,"We pick up two beef and chicken combo meal at $12@ and took them home for dinner. Ended up sharing one and each of us had a full plate of beef, chicken, Spanish rice, salad and pita bread. They were delivered with their own special white sauce.",5,"Apr 20, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,"Hi Alex, thank you for the positive comments. We are so happy you enjoyed your meal at The Halal Guys and look forward to seeing you again!",5,"Apr 20, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,We got two combo regular platter for $13 each. Only less than 10 in line and it was served and packed very quickly. My wife and I shared one platter for dinner and they were plenty of food for two. It was tasty and a great value. Highly recommended to any NYC visitors to experience this food adventure.,5,"Apr 20, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,The food is great and really inexpensive.  We always get at least one meal there when we stay at the Hilton.,4,"Apr 26, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,Thank you so much for the positive review! We are happy to see you've been pleased with your meal at The Halal Guys!,4,"Apr 26, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,"There is a reason why this place is as popular as it is. This was the first food stop I went to in NYC and I am so glad I did because this was perfect. The experience of waiting in line for a food truck in the middle of a concrete jungle is just so New York. It's a great feeling and vibe to just be part of the city's ecosystem. As for the food itself, I got the chicken gyro with one line of hot sauce and wow. This was amazing. The meat was cooked perfectly with a great seasoning and they just load it in the pita with a whole lot of sauce and toppings. Actually such a good gyro and definitely worth the wait in the line.",5,"Apr 4, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,"Been on my list of places to try and best decision EVER! It was so delicious and tasty! We got the chicken and the gyro, the gyro was a little bit salty but overall really good. It comes with rice (the way they make their rice was really good and a hint of sweet), lettuce, vegetables and the sauces. They pack the food in there and the amount is great to share with 2 or more people. The price is not expensive at all. The service is great. They guys are really nice. They do get busy but the line does go by fast so you are never really waiting long. But it definitely worth the wait. It is a good truck and it's in New York so the ambiance is beautiful since you are eating outside and looking at the beautiful buildings.",5,"Dec 25, 2025",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,"Hi Vesta, thank you for sharing your wonderful review about The Halal Guys! We are happy to have served you, please feel free to reach out to our team if you have any additional feedback.",5,"Dec 25, 2025",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,"This was our first stop in New York since we got in so late and needed something hot and filling! Make sure you go to the right places there are a lot of carts that'll say ""Halal"" on it to trip you up. This was a simple, affordable and delicious meal. We got the chicken over rice and it was LOADED. The sauce that comes with it is incredible, be sure to get it. It is cash only so be sure you've got some cash on you before heading over. The line moved quickly and service was super quick as our food was ready within a couple minutes.",5,"Jan 1, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
yelp,"This cart in Theater District is the original Halal Guys and a cool visit in NYC if you are a big fan of halal food! While busy, the wait isn't too long. Huge portions and love their combo plate.",5,"Feb 18, 2026",https://www.yelp.com/biz/the-halal-guys-new-york-3
